Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,45.785716,0.000000,0.000000,0.997080,0.989451,0.987268,0.969771,0.989334,0.995118,0.794142,0.956490,0.978002,0.987512,92.959676,
1,44.078075,13.713395,13.713395,0.995850,0.985068,0.982400,0.956254,0.981204,0.995298,0.747525,0.940015,0.969316,0.981602,100.000000,
2,43.372786,10.807411,15.104665,0.995364,0.982017,0.980560,0.949556,0.978085,0.992358,0.717359,0.929862,0.964882,0.979485,100.000000,
3,43.204273,9.536326,10.807411,0.995278,0.979542,0.979156,0.957910,0.975391,0.988228,0.718756,0.925434,0.960486,0.976825,100.000000,
4,43.258211,9.536326,9.536326,0.995327,0.979194,0.976955,0.950522,0.973670,0.989250,0.715943,0.926758,0.962264,0.978179,100.000000,
5,43.982481,15.458418,15.731062,0.995375,0.985185,0.981967,0.963313,0.980736,0.993809,0.732481,0.934390,0.966884,0.981166,100.000000,
6,44.080307,5.842316,15.458418,0.995846,0.985175,0.983442,0.956565,0.983081,0.993942,0.740179,0.939430,0.968902,0.981677,98.564503,
7,43.674058,5.842316,5.842316,0.995632,0.982623,0.980783,0.960578,0.980029,0.990421,0.729674,0.934115,0.965421,0.979696,97.674994,
8,43.633725,8.549697,9.998305,0.995846,0.983432,0.979542,0.960310,0.981239,0.991605,0.727688,0.936318,0.967440,0.981758,100.000000,
9,43.699967,7.476825,8.549697,0.995706,0.984350,0.981176,0.959824,0.982179,0.992890,0.731517,0.936361,0.967326,0.981117,100.000000,
10,43.510542,7.451832,7.476825,0.995812,0.984388,0.980077,0.957649,0.981994,0.993795,0.723914,0.936605,0.967788,0.981631,100.000000,
11,43.582753,7.451832,7.451832,0.995663,0.984443,0.981602,0.958867,0.982038,0.993475,0.729174,0.935220,0.966493,0.980184,100.000000,
12,43.577491,8.177838,13.652317,0.995817,0.983111,0.978421,0.957203,0.980839,0.992283,0.724626,0.937828,0.968305,0.981558,100.000000,
13,44.503808,8.177838,8.177838,0.996372,0.988398,0.983490,0.961720,0.989017,0.995713,0.750038,0.949613,0.975303,0.985754,100.000000,
14,44.543480,5.672426,11.187496,0.996615,0.986903,0.984440,0.961572,0.985700,0.994739,0.753165,0.951691,0.976644,0.986899,99.543000,
15,44.241186,5.672426,5.672426,0.996571,0.985099,0.981561,0.961060,0.984446,0.993170,0.747463,0.949140,0.975550,0.986385,99.046348,
16,44.112956,6.939637,6.939637,0.996555,0.986776,0.979640,0.961344,0.986493,0.995216,0.741473,0.949721,0.976045,0.986868,100.000000,
17,44.372457,10.004850,10.004850,0.996458,0.987114,0.982765,0.963220,0.984928,0.995546,0.753053,0.950130,0.976115,0.986414,100.000000,
18,44.662676,10.555957,12.266700,0.996537,0.986641,0.983720,0.959727,0.983779,0.995230,0.754774,0.950865,0.976326,0.986551,100.000000,
19,44.285963,10.309305,10.555957,0.996635,0.985016,0.980040,0.960507,0.982979,0.993809,0.744871,0.946993,0.973603,0.985097,100.000000,
20,45.151343,10.309305,10.309305,0.996692,0.988843,0.985679,0.962075,0.987879,0.996334,0.764995,0.957013,0.979110,0.987953,100.000000,
21,44.945389,14.313181,14.946738,0.996658,0.987116,0.980474,0.958681,0.986620,0.995886,0.757162,0.955673,0.978368,0.987514,100.000000,
22,45.298830,9.933944,14.313181,0.996762,0.985003,0.983184,0.958346,0.982538,0.993027,0.769831,0.955493,0.978285,0.987363,100.000000,
23,44.924219,8.458784,9.933944,0.996834,0.986238,0.979844,0.965250,0.984943,0.993956,0.758356,0.955456,0.978111,0.987551,100.000000,
24,45.156791,8.458784,8.458784,0.996814,0.987651,0.982639,0.968766,0.985635,0.994804,0.767517,0.954684,0.977284,0.986993,100.000000,
25,45.136748,8.227978,9.402710,0.996854,0.988326,0.983416,0.962156,0.987887,0.996207,0.767816,0.956813,0.979027,0.988042,100.000000,
26,44.955929,4.295971,8.227978,0.996961,0.987406,0.979709,0.966274,0.985799,0.995674,0.760464,0.958666,0.980159,0.988754,98.282795,
27,44.752852,4.295971,4.295971,0.997146,0.986278,0.975482,0.968806,0.985227,0.993926,0.756410,0.958574,0.980189,0.989010,98.056397,
28,45.126303,7.025203,7.819634,0.997069,0.988260,0.982023,0.967861,0.987505,0.995418,0.767108,0.957111,0.979114,0.988107,100.000000,
29,44.991734,2.654978,7.025203,0.997037,0.987416,0.980577,0.966462,0.985596,0.995717,0.762056,0.956283,0.978976,0.988321,96.108306,
30,44.831229,1.883448,2.654978,0.997127,0.986269,0.978702,0.965475,0.984545,0.994814,0.757305,0.954745,0.977787,0.987459,94.738852,
31,44.779895,1.883448,1.883448,0.996937,0.984584,0.979315,0.963098,0.982325,0.993283,0.759246,0.951205,0.976114,0.986628,94.219505,
32,44.743461,5.682561,5.682561,0.996728,0.987965,0.983391,0.959264,0.985530,0.997263,0.755333,0.952158,0.977099,0.987209,99.835519,
33,44.232714,13.015589,13.015589,0.996479,0.983360,0.978670,0.957816,0.978752,0.993519,0.737872,0.943146,0.971680,0.984021,100.000000,
34,45.068447,15.057634,15.057634,0.996408,0.987762,0.985972,0.964479,0.985865,0.995570,0.760535,0.948398,0.974624,0.985572,100.000000,
35,44.901504,4.307372,18.824623,0.996925,0.986978,0.983135,0.966914,0.985600,0.994170,0.762971,0.951946,0.975954,0.985871,97.763481,
36,44.785183,4.307372,4.307372,0.996677,0.988008,0.983170,0.968343,0.986529,0.994857,0.756550,0.949001,0.975033,0.985795,97.928042,
