Frame,integer_motion2,integer_motion,psnr,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,46.316938,0.998275,0.989138,0.986243,0.971007,0.988309,0.994982,0.813573,0.967292,0.984035,0.990967,93.465103,
1,13.713395,13.713395,45.390857,0.997917,0.988402,0.984947,0.965638,0.985952,0.996483,0.784486,0.962859,0.982619,0.990409,100.000000,
2,10.807411,15.104665,44.881891,0.997724,0.985883,0.982823,0.956839,0.984512,0.994428,0.763798,0.958444,0.980696,0.989416,100.000000,
3,9.536326,10.807411,44.802127,0.997736,0.983711,0.982147,0.967490,0.980742,0.990438,0.768590,0.955811,0.978048,0.987678,100.000000,
4,9.536326,9.536326,44.997655,0.997786,0.988043,0.981290,0.960881,0.986802,0.996588,0.773261,0.960031,0.981336,0.989663,100.000000,
5,15.458418,15.731062,45.652490,0.997863,0.990146,0.983936,0.972303,0.987834,0.997421,0.782500,0.963675,0.983168,0.990976,100.000000,
6,5.842316,15.458418,45.122373,0.997829,0.984264,0.981321,0.961647,0.982637,0.991559,0.772612,0.960244,0.980466,0.988784,99.543251,
7,5.842316,5.842316,44.547025,0.997594,0.981225,0.979082,0.958690,0.978112,0.989528,0.759372,0.953990,0.977226,0.986913,98.551558,
8,8.549697,9.998305,44.560859,0.997697,0.983973,0.978274,0.962200,0.983553,0.991200,0.759973,0.956426,0.978986,0.988467,100.000000,
9,7.476825,8.549697,44.488983,0.997465,0.984901,0.981100,0.960995,0.983501,0.992974,0.757830,0.953117,0.977138,0.987083,100.000000,
10,7.451832,7.476825,44.056457,0.997386,0.983975,0.976640,0.960085,0.982230,0.992963,0.745744,0.949703,0.975144,0.985839,100.000000,
11,7.451832,7.451832,43.963001,0.997126,0.983480,0.978284,0.956820,0.982170,0.992721,0.746025,0.944721,0.972173,0.983873,100.000000,
12,8.177838,13.652317,44.383787,0.997644,0.984172,0.978263,0.959552,0.983565,0.992330,0.751876,0.954857,0.978365,0.988030,100.000000,
13,8.177838,8.177838,45.135439,0.997847,0.988485,0.982567,0.962640,0.988949,0.995913,0.771687,0.961705,0.982116,0.990314,100.000000,
14,5.672426,11.187496,44.914589,0.997841,0.983646,0.982198,0.959998,0.980836,0.991738,0.768277,0.960231,0.981031,0.989426,99.272155,
15,5.672426,5.672426,44.729070,0.997846,0.983279,0.980053,0.959093,0.980428,0.992662,0.765588,0.959849,0.981056,0.989657,99.207774,
