Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,45.466641,0.000000,0.000000,0.997180,0.986817,0.986209,0.963425,0.987589,0.992561,0.786213,0.955546,0.977597,0.987074,92.337946,
1,44.731689,13.713395,13.713395,0.996734,0.986861,0.983458,0.964763,0.983898,0.995039,0.763312,0.951210,0.975990,0.986137,100.000000,
2,44.219896,10.807411,15.104665,0.996632,0.985026,0.982306,0.956927,0.983323,0.993432,0.742769,0.945712,0.973540,0.984888,100.000000,
3,44.089325,9.536326,10.807411,0.996550,0.982294,0.980961,0.964233,0.979618,0.989322,0.745686,0.941741,0.969712,0.982281,100.000000,
4,44.202171,9.536326,9.536326,0.996694,0.986171,0.980611,0.959815,0.984271,0.994593,0.747321,0.945462,0.972911,0.984453,100.000000,
5,44.946573,15.458418,15.731062,0.996709,0.988258,0.983851,0.965009,0.984674,0.997086,0.760693,0.951133,0.976118,0.986647,100.000000,
6,44.890401,5.842316,15.458418,0.997002,0.985811,0.986425,0.962463,0.984506,0.992246,0.762926,0.953715,0.976462,0.986098,99.456073,
7,44.578633,5.842316,5.842316,0.996911,0.983742,0.984798,0.965313,0.980267,0.990414,0.756111,0.950279,0.974712,0.985209,98.837969,
8,44.669565,8.549697,9.998305,0.997096,0.986070,0.982201,0.966660,0.985096,0.992574,0.759056,0.954662,0.977541,0.987265,100.000000,
9,44.808143,7.476825,8.549697,0.997096,0.987981,0.984247,0.966049,0.988145,0.994607,0.763424,0.955057,0.977776,0.987090,100.000000,
10,44.608173,7.451832,7.476825,0.997129,0.986965,0.980616,0.966545,0.986883,0.993839,0.757323,0.955043,0.977761,0.987387,100.000000,
11,44.724528,7.451832,7.451832,0.997055,0.986768,0.982187,0.964463,0.986058,0.994329,0.763334,0.954551,0.977325,0.986715,100.000000,
12,44.464097,8.177838,13.652317,0.997068,0.986268,0.981192,0.964661,0.985500,0.993537,0.752977,0.953110,0.976732,0.986591,100.000000,
13,44.870968,8.177838,8.177838,0.997045,0.988177,0.984491,0.963573,0.987857,0.995211,0.764118,0.955227,0.977928,0.987181,100.000000,
14,44.588684,5.672426,11.187496,0.996983,0.983357,0.983906,0.960329,0.980243,0.990998,0.758014,0.952422,0.976254,0.986148,98.698335,
15,44.351758,5.672426,5.672426,0.996990,0.982626,0.982427,0.960313,0.978424,0.991586,0.753463,0.950264,0.975382,0.985881,98.467832,
